description,price_uninsured,price_insured
1-2-3 PASTE, 	14.35 , 	51.24 
"CATH, BALLOON QUANTUM MAV MON 12X4.5MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV MON 12X5.0MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV MON 15X2.5MM", 	178.75 , 	638.40 
"CATH, BALLOON QUANTUM MAV MON 15X3.5MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV MON 15X4.5MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV MON 20X2.5MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV MON 20X3.0MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV MON 20X3.25MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV MON 20X3.5MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV MON 20X4.0MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV MON 5.0X15MM", 	178.75 , 	638.40 
"CATH, BALLOON QUANTUM MAV MON 8X2.25MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV MON 8X2.5MM", 	178.75 , 	638.40 
"CATH, BALLOON QUANTUM MAV MON 8X2.75MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV MON 8X3.25MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV MON 8X3.5MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV MON 8X3.75MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV MON 8X4.5MM", 	178.75 , 	638.40 
"CATH, BALLOON QUANTUM MAV OTW 12X2.0MM", 	178.75 , 	638.40 
"CATH, BALLOON QUANTUM MAV OTW 12X2.25MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 12X2.5MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 12X2.75MM", 	178.75 , 	638.40 
"CATH, BALLOON QUANTUM MAV OTW 12X3.0MM", 	178.75 , 	638.40 
"CATH, BALLOON QUANTUM MAV OTW 12X3.25MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 12X3.5MM", 	178.75 , 	638.40 
"CATH, BALLOON QUANTUM MAV OTW 12X3.75MM", 	178.75 , 	638.40 
"CATH, BALLOON QUANTUM MAV OTW 12X4.0MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 12X4.5MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 12X5.0MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 15X2.0MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 15X2.5MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 15X2.75MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 15X3.0MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 15X3.25MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 15X3.5MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 15X4.0MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 20X3.0MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 20X3.5MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 20X3.75MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 20X4.0MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 30X2.0MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 30X2.25MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 30X2.5MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 30X3.75MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 8X2.0MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 8X2.5MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 8X2.75MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 8X3.0MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 8X3.25MM", 	196.63 , 	702.24 
"CATH, BALLOON QUANTUM MAV OTW 8X3.75MM", 	196.63 , 	702.24 
"CATH, BALLOON SAVVVY .18 305X15X150", 	335.16 ," 	1,197.00 "
"CATH, BALLOON SAVVY 2.5X12", 	335.16 ," 	1,197.00 "
"CATH, BALLOON SAVVY 2.5X22", 	335.16 ," 	1,197.00 "
"CATH, BALLOON SAVVY 2MMX120CM", 	335.16 ," 	1,197.00 "
"CATH, BALLOON SAVVY 3.5X12", 	335.16 ," 	1,197.00 "
"CATH, BALLOON SAVVY 5.0X15", 	335.16 ," 	1,197.00 "
"CATH, BALLOON SAVVY 6.0X15", 	335.16 ," 	1,197.00 "
"CATH, BALLOON SLALOM 3MMX2CM 135CM", 	335.16 ," 	1,197.00 "
"CATH, BALLOON SLALOM 3MMX4CM 135CM", 	335.16 ," 	1,197.00 "
"CATH, BALLOON SLALOM 4MMX2CM 135CM", 	335.16 ," 	1,197.00 "
"CATH, BALLOON SLALOM 4MMX2CM 80CM", 	335.16 ," 	1,197.00 "
"CATH, BALLOON SLALOM 4MMX4CM 135CM", 	335.16 ," 	1,197.00 "
"CATH, BALLOON SLALOM 5MMX2CM 135CM", 	335.16 ," 	1,197.00 "
"CATH, BALLOON SLALOM 5MMX4CM 135CM", 	335.16 ," 	1,197.00 "
"CATH, BALLOON SLALOM 6MMX4CM 135CM", 	335.16 ," 	1,197.00 "
"CATH, BALLOON SLALOM 7MMX2CM 135CM", 	335.16 ," 	1,197.00 "
"CATH, BALLOON SLALOM 7MMX4CM 135CM", 	335.16 ," 	1,197.00 "
"CATH, BALLOON SLALOM 8MMX2CM 135CM", 	335.16 ," 	1,197.00 "
"CATH, BALLOON SPRINTER OTW 1.50X20MM", 	156.41 , 	558.60 
"CATH, BALLOON SPRINTER OTW 2.5X20MM", 	201.10 , 	718.20 
"CATH, BALLOON SPRINTER OTW 2.5X25MM", 	156.41 , 	558.60 
"CATH, BALLOON SPRINTER OTW 2X25MM", 	156.41 , 	558.60 
"CATH, BALLOON SPRINTER OTW 3X25MM", 	156.41 , 	558.60 
"CATH, BALLOON STD OCCULT LTX 11.5/34FR", 	210.90 , 	753.21 
"CATH, BALLOON STORMER 1.50X15MM", 	201.10 , 	718.20 
"CATH, BALLOON SYNERGY 4-10/5.3/135", 	178.75 , 	638.40 
"CATH, BALLOON SYNERGY 5-8/5.3/135", 	178.75 , 	638.40 
"CATH, BALLOON SYNERGY 6-10/5.3/135", 	178.75 , 	638.40 
"CATH, BALLOON SYNERGY 6-10/5.3/135", 	178.75 , 	638.40 
"CATH, BALLOON SYNERGY 6-8/5.3/135", 	178.75 , 	638.40 
"CATH, BALLOON THERMODILUTE HEP 6FRX110CM", 	136.55 , 	487.68 
"CATH, BALLOON THERMODILUTE HEP 6FRX110CM", 	201.92 , 	721.13 
"CATH, BALLOON TIPLESS", 	281.68 ," 	1,006.01 "
"CATH, BALLOON TRANSFORM COMPLIANT 3X10MM"," 	2,098.10 "," 	7,493.22 "
"CATH, BALLOON TRANSFORM COMPLIANT 3X15MM"," 	2,004.26 "," 	7,158.06 "
"CATH, BALLOON TRANSFORM COMPLIANT 4X10MM"," 	2,098.10 "," 	7,493.22 "
"CATH, BALLOON TRANSFORM COMPLIANT 4X15MM"," 	2,098.10 "," 	7,493.22 "
"CATH, BALLOON TRANSFORM COMPLIANT 4X20MM"," 	2,004.26 "," 	7,158.06 "
"CATH, BALLOON TRANSFORM COMPLIANT 4X30MM"," 	2,004.26 "," 	7,158.06 "
"CATH, BALLOON TRANSFORM COMPLIANT 5X10MM"," 	2,098.10 "," 	7,493.22 "
"CATH, BALLOON TRANSFORM COMPLIANT 5X15MM"," 	2,004.26 "," 	7,158.06 "
"CATH, BALLOON TRANSFORM COMPLIANT 5X20MM"," 	2,004.26 "," 	7,158.06 "
"CATH, BALLOON TRANSFORM COMPLIANT 5X30MM"," 	2,004.26 "," 	7,158.06 "
"CATH, BALLOON TRI-LOBE 16-34MM IDE", 	893.76 ," 	3,192.00 "
"CATH, BALLOON TRI-LOBE 16-48MM IDE", 	893.76 ," 	3,192.00 "
"CATH, BALLOON TRI-LOBE F/TAG", 	811.83 ," 	2,899.40 "
"CATH, BALLOON TRILOBE LRG 26-42MM", 	893.76 ," 	3,192.00 "
"CATH, BALLOON TRILOBE SM 16-34MM", 	893.76 ," 	3,192.00 "
"CATH, BALLOON TRUE DILAT 11FR 20MMX4.5CM", 	968.24 ," 	3,458.00 "
"CATH, BALLOON TRUE DILAT 12FR 22MMX4.5CM", 	968.24 ," 	3,458.00 "
"CATH, BALLOON TRUE DILAT 12FR 24MMX4.5CM", 	968.24 ," 	3,458.00 "
"CATH, BALLOON TRUE DILAT 13FR 26MMX4.5CM", 	968.24 ," 	3,458.00 "
"CATH, BALLOON TYSHAK II 8MMX3CM 4FR", 	691.68 ," 	2,470.29 "
"CATH, BALLOON UTERINE THERMACHOICE EA"," 	2,352.82 "," 	8,402.94 "
"CATH, BALLOON VASCUTRACK 2.0X100MM", 	968.24 ," 	3,458.00 "
"CATH, BALLOON VASCUTRACK 2.0X40MM", 	968.24 ," 	3,458.00 "
"CATH, BALLOON VASCUTRACK 2.5X100MM", 	968.24 ," 	3,458.00 "
"CATH, BALLOON VASCUTRACK 2.5X40MM", 	968.24 ," 	3,458.00 "
"CATH, BALLOON VASCUTRACK 3.0X100MM", 	968.24 ," 	3,458.00 "
"CATH, BALLOON VASCUTRACK 3.0X40MM", 	968.24 ," 	3,458.00 "
"CATH, BALLOON VASCUTRACK 4.0X100MM", 	968.24 ," 	3,458.00 "
"CATH, BALLOON VASCUTRACK 4.0X150MM", 	968.24 ," 	3,458.00 "
"CATH, BALLOON VASCUTRACK 4.0X40MM", 	968.24 ," 	3,458.00 "
"CATH, BALLOON VASCUTRACK 5.0X100MM", 	968.24 ," 	3,458.00 "
"CATH, BALLOON VASCUTRACK 5.0X200MM", 	968.24 ," 	3,458.00 "
"CATH, BALLOON VASCUTRACK 5.0X40MM", 	968.24 ," 	3,458.00 "
"CATH, BALLOON VPB 3-4X120MM", 	534.08 ," 	1,907.43 "
"CATH, BALLOON WEDGE PRESSURE 4FRX60CM", 	88.18 , 	314.94 
"CATH, BALLOON WEDGE PRESSURE 5FR 110CM", 	82.42 , 	294.36 
"CATH, BALLOON WEDGE PRESSURE 6FRX110CM", 	74.73 , 	266.90 
"CATH, BALLOON WEDGE PRESSURE 7FRX110CM", 	74.73 , 	266.90 
"CATH, BALL-TIP 5FR", 	68.15 , 	243.39 
"CATH, BARRX CHANNEL RFA"," 	2,463.20 "," 	8,797.15 "
"CATH, BARTHOLIN GLAND WORDS LTX 10FR", 	28.60 , 	102.14 
"CATH, BASIC STRAIGHT DURA-FLOW 28CM", 	320.26 ," 	1,143.80 "
"CATH, BASIC STRAIGHT DURA-FLOW 32CM", 	320.26 ," 	1,143.80 "
"CATH, BASIC STRAIGHT DURA-FLOW 36CM", 	320.26 ," 	1,143.80 "
"CATH, BASIC STRAIGHT DURA-FLOW 55CM", 	320.26 ," 	1,143.80 "
"CATH, BEACON HI-FLOW 6MMX8CM", 	119.17 , 	425.60 
"CATH, BEACON-SLIP SIM2 5FRX125", 	132.57 , 	473.48 
"CATH, BEACON-TIP VAN SCHIE 3 65CM 5FR", 	98.91 , 	353.25 
"CATH, BEACON-TIP VAN SCHIE 5 65CM 5FR", 	98.91 , 	353.25 
"CATH, BEACON-TIP VANSCHIE2 .035X65 5FR", 	98.91 , 	353.25 
"CATH, BEACON-TIP VANSCHIE4 .035X65 5FR", 	98.91 , 	353.25 
"CATH, BENCHMARK 071 MP 105CM"," 	1,482.15 "," 	5,293.40 "
"CATH, BENCHMARK 071 MP 95CM"," 	1,482.15 "," 	5,293.40 "
"CATH, BENCHMARK 071 STRT 105CM"," 	1,482.15 "," 	5,293.40 "
"CATH, BENCHMARK 071 STRT 95CM"," 	1,482.15 "," 	5,293.40 "
"CATH, BERENSTEIN 5FRX65CM", 	26.74 , 	95.49 
"CATH, BERENSTEIN IMPRESS LEGATO 4FX100CM", 	58.09 , 	207.48 
"CATH, BERENSTEIN IMPRESS LEGATO 4FX65CM", 	58.09 , 	207.48 
"CATH, BERENSTEIN-II 5FRX100CM", 	18.62 , 	66.50 
"CATH, BERESTN BRAIDED .038 6FRX110CMX3CM", 	32.77 , 	117.04 
"CATH, BERNSTEIN 4FRX40CM", 	32.77 , 	117.04 
"CATH, BERNSTEIN 5FRX100CM", 	32.77 , 	117.04 
"CATH, BIB PTA 10FRX20MMX4CMX110CM"," 	1,117.20 "," 	3,990.00 "
"CATH, BIB PTA 11FRX22MMX4.5CMX110CM"," 	1,117.20 "," 	3,990.00 "
"CATH, BIB PTA 11FRX22MMX4CMX110CM"," 	1,154.07 "," 	4,121.67 "
"CATH, BIB PTA 11FRX24MMX4.5CMX110CM"," 	1,117.20 "," 	3,990.00 "
"CATH, BIB PTA 11FRX24MMX4CMX110CM"," 	1,117.20 "," 	3,990.00 "
"CATH, BIB PTA 12.0X3.0"," 	1,117.20 "," 	3,990.00 "
"CATH, BIB PTA 14MMX4.5CMX7MM"," 	1,117.20 "," 	3,990.00 "
"CATH, BIB PTA 18MMX3.5CM / 9MMX2.5CM"," 	1,154.07 "," 	4,121.67 "
"CATH, BIB PTA 20MMX4.5CM / 10MMX3.5CM"," 	1,117.20 "," 	3,990.00 "
"CATH, BIB PTA 7FRX14MMX4CMX110CM"," 	1,117.20 "," 	3,990.00 "
"CATH, BIB PTA 9FRX16MMX4CMX110CM"," 	1,117.20 "," 	3,990.00 "
"CATH, BICAVAL ELITE 2LUM 13FRX11CM"," 	3,500.56 "," 	12,502.00 "
"CATH, BICAVAL ELITE 2LUM 16FRX14CM"," 	3,500.56 "," 	12,502.00 "
"CATH, BICAVAL ELITE 2LUM 19FRX21CM"," 	3,500.56 "," 	12,502.00 "
"CATH, BICAVAL ELITE 2LUM 20FRX31CM"," 	3,500.56 "," 	12,502.00 "
"CATH, BICAVAL ELITE 2LUM 23FRX31CM"," 	3,500.56 "," 	12,502.00 "
"CATH, BICAVAL ELITE 2LUM 27FRX31CM"," 	3,500.56 "," 	12,502.00 "
"CATH, BICAVAL ELITE 2LUM 31FRX31CM"," 	3,500.56 "," 	12,502.00 "
"CATH, BI-DIRECT CS DF CRV", 	667.34 ," 	2,383.36 "
"CATH, BI-DIRECT CS FJ CRV", 	667.34 ," 	2,383.36 "
"CATH, BI-DIRECT D-F-CRV THERMC SMART IDE"," 	2,979.20 "," 	10,640.00 "
"CATH, BILI DILATION SOEHENDRA 7FR", 	144.49 , 	516.04 
"CATH, BILI DILATION SOEHENDRA 8.5FR", 	83.79 , 	299.25 
"CATH, BILIARY DILAT SOEHENDRA 11.5FRX3CM", 	95.33 , 	340.48 
"CATH, BILIARY DIST DRAIN RESOLVE 10FR", 	95.33 , 	340.48 
"CATH, BILIARY DIST DRAIN RESOLVE 12FR", 	95.33 , 	340.48 
"CATH, BILIARY DISTAL DRAINAGE 8FR", 	95.33 , 	340.48 
"CATH, BILIARY DRAIN FLEXIMA 14/35 RE", 	96.82 , 	345.80 
"CATH, BILIARY DRAIN FLEXIMA 45H 1", 	187.99 , 	671.38 
"CATH, BILIARY DRAINAGE RESOLVE 10FR", 	95.33 , 	340.48 
"CATH, BILIARY DRAINAGE RESOLVE 12FR", 	95.33 , 	340.48 
"CATH, BILIARY DRAINAGE RESOLVE 8FR", 	95.33 , 	340.48 
"CATH, BILIARY FLEXIMA 12FRX35CM", 	96.82 , 	345.80 
"CATH, BILIARY RO 8FR", 	96.82 , 	345.80 
"CATH, BIODIRECTIONAL FJ CS 7FR", 	667.34 ," 	2,383.36 "
"CATH, BIO-FLEX TESIO W/CUFF 10FRX18/22CM", 	454.33 ," 	1,622.60 "
"CATH, BIPLR PACING FD RH AD 5FR", 	153.43 , 	547.96 
"CATH, BLAZER DX20 7FR MED CURVE"," 	1,266.16 "," 	4,522.00 "
"CATH, BLAZER DX-20 7FR SUPER LRG"," 	1,489.60 "," 	5,320.00 "
"CATH, BLAZER DX-20 7FR SUPER MED"," 	1,489.60 "," 	5,320.00 "
"CATH, BLAZER DX20 7FR SUPERLARGE CURVE"," 	1,266.16 "," 	4,522.00 "
"CATH, BLAZER DX-20 BI-D DUODECA 7FR MED"," 	1,266.16 "," 	4,522.00 "
"CATH, BLAZER DX-20 BI-D DUODECA 7FR XL"," 	1,266.16 "," 	4,522.00 "
"CATH, BLAZER II 4MM-QUAD K2 7FR"," 	1,549.18 "," 	5,532.80 "
"CATH, BLAZER II 4MM-QUAD LC SD 7FR"," 	1,079.96 "," 	3,857.00 "
"CATH, BLAZER II 4MM-QUAD MED 7FR"," 	1,079.96 "," 	3,857.00 "
"CATH, BLAZER II XP 7/110/2.5/8-8 QD N4 H"," 	1,787.52 "," 	6,384.00 "
"CATH, BLAZER LRG K-KITE 7X5MM"," 	1,504.50 "," 	5,373.20 "
"CATH, BLAZER PRIME HTD TEMP ABLAT 7F LRG"," 	1,325.74 "," 	4,734.80 "
"CATH, BLAZER PRIME HTD TEMP ABLAT 7F STD"," 	1,191.68 "," 	4,256.00 "
"CATH, BLAZER PRIME XP TEMP ABLAT 7FR LRG"," 	2,197.16 "," 	7,847.00 "
"CATH, BLAZER PRIME XP TEMP ABLAT 7FR STD"," 	1,936.48 "," 	6,916.00 "
"CATH, BLAZER STD K-KITE 7X4MM"," 	1,266.16 "," 	4,522.00 "
"CATH, BLLN DIL UROMAX HP 12FRX4X75CM", 	329.38 ," 	1,176.36 "
"CATH, BLLN DIL UROMAX HP 15FRX6X75CM", 	337.68 ," 	1,205.99 "
"CATH, BLLN DIL UROMAX HP 18FRX10X75CM", 	361.38 ," 	1,290.63 "
"CATH, BLLN DIL UROMAX HP 18FRX4X75CM", 	361.38 ," 	1,290.63 "
"CATH, BLLN EXTRACTOR PRO RX-S ABV 12-15", 	215.99 , 	771.40 
"CATH, BLLN EXTRACTOR PRO RX-S ABV 15-18", 	215.99 , 	771.40 
"CATH, BLLN EXTRACTOR PRO RX-S BLW 12-15", 	215.99 , 	771.40 
"CATH, BLLN EXTRACTOR PRO RX-S BLW 15-18", 	215.99 , 	771.40 
"CATH, BLLN EXTRACTOR PRO RX-S BLW 9-12", 	215.99 , 	771.40 
"CATH, BLLN INFLAT DIST INFUSION 6FRX80CM", 	125.42 , 	447.94 
"CATH, BLLN PALMAZ GENESIS OPTA PRO 59X80"," 	1,117.20 "," 	3,990.00 "
"CATH, BLLN SIZING AMPLATZER-II 6FRX70CM", 	394.74 ," 	1,409.80 "
"CATH, BLLN SIZING AMPLATZER-II 7FRX70CM", 	394.74 ," 	1,409.80 "
"CATH, BLLN SIZING AMPLATZER-II 8FRX70CM", 	394.74 ," 	1,409.80 "
"CATH, BLN TRANFORM SUPR COMPLIANT 4X10MM"," 	2,098.10 "," 	7,493.22 "
"CATH, BLN TRANFORM SUPR COMPLIANT 7X10MM"," 	2,004.26 "," 	7,158.06 "
"CATH, BLN TRANFORM SUPR COMPLIANT 7X15MM"," 	2,004.26 "," 	7,158.06 "
"CATH, BLN TRANSFORM SUPR COMPLIANT 3X5MM"," 	2,098.10 "," 	7,493.22 "
"CATH, BLN TRANSFORM SUPR COMPLIANT 4X7MM"," 	2,098.10 "," 	7,493.22 "
"CATH, BLN TRANSFORM SUPR COMPLIANT 7X7MM"," 	2,098.10 "," 	7,493.22 "
"CATH, BLZR II XP 7/110/2.5/8-8 QD MD HTD"," 	1,787.52 "," 	6,384.00 "
"CATH, BLZR II XP 7/110/2.5/8-8 QD STD"," 	1,787.52 "," 	6,384.00 "
"CATH, BLZR II XP/110/2.5/8-8 QD K2 HTD"," 	1,787.52 "," 	6,384.00 "
"CATH, BONANNO", 	95.32 , 	340.43 
"CATH, BRIDGE 20MMX90CMX80MM"," 	1,266.16 "," 	4,522.00 "
"CATH, BRONCH LAVAGE COMBICATH 13FR", 	58.09 , 	207.48 
"CATH, BROVIAC 1LUM SURECUFF 4.2FR", 	225.54 , 	805.50 
"CATH, BROVIAC 1LUM SURECUFF PED 2.7FR", 	147.29 , 	526.04 
"CATH, BROVIAC 1LUM SURECUFF PED 4.2FR", 	178.75 , 	638.40 
"CATH, BROVIAC 1LUM SURECUFF PED 6.6FR", 	192.83 , 	688.67 
"CATH, CANNULATOME II 2LUM MONO 6FRX25MM", 	213.01 , 	760.76 
"CATH, CARDIAC HP", 	556.60 ," 	1,987.87 "
"CATH, CARDIAC MP", 	459.09 ," 	1,639.62 "
"CATH, CARDIAC PIGTAIL 145D 6FR PEDS", 	11.92 , 	42.56 
"CATH, CARDIAC RED-TIP BAR IMPR 58CM", 	240.12 , 	857.58 
"CATH, CD-LEYCOM PV LOOP 7FRX10MM"," 	2,174.82 "," 	7,767.20 "
"CATH, CENTESIS SKATER 5FRX15CM", 	28.30 , 	101.08 
"CATH, CEREBRAL HEADHUNTER 5FRX125CM", 	62.56 , 	223.44 
"CATH, CEREBRAL HI-FLO POLY 38 SIM1 5.0FR", 	55.12 , 	196.84 
"CATH, CHEST TUBE HTS SILICONE STRT 32FR", 	14.23 , 	50.81 
"CATH, CHOLANGIO REDDICK W/INTR 4FRX50", 	192.16 , 	686.28 
"CATH, CHOLANGIO REDDICK W/INTRO 4FRX50CM", 	193.57 , 	691.33 
"CATH, CHOLANGIO SCOOP-TIP REDDICK 4FRX50", 	201.02 , 	717.93 
"CATH, CHOLANGIO STIFF REDDICK 4FRX50CM", 	169.52 , 	605.42 
"CATH, CHOLANGIOGRAM KUMAR PRE-VIEW", 	47.67 , 	170.24 
"CATH, CHOLANGIOGRAM NO TUBE 1.5MMX76CM", 	44.69 , 	159.60 
"CATH, CHOLANGIOGRAM TAUT 4.5FRX18IN", 	51.09 , 	182.48 
"CATH, CHOLANGIOGRAM TAUT 5.5FRX18IN", 	44.69 , 	159.60 
"CATH, CHOLANGIOGRAM TAUT 6.5FRX18IN", 	44.69 , 	159.60 
"CATH, CHOLANGIOGRAM TAUT 7.5FRX18IN", 	41.71 , 	148.96 
"CATH, CHOLANGIOGRAPHY RANFAC", 	43.20 , 	154.28 
"CATH, CHOLANGIOGRM METAL TUBE 1.5MMX76CM", 	44.69 , 	159.60 
"CATH, CLOSUREFAST 7FR 0.025INX100CM"," 	1,564.08 "," 	5,586.00 "
"CATH, COBRA 4FRX65CM", 	50.11 , 	178.96 
"CATH, COBRA II .038IN 5FRX90CM", 	32.77 , 	117.04 
"CATH, COIL POSITIONING", 	161.99 , 	578.55 
"CATH, CONSTELLATION ADVANCE MAPPING 48MM"," 	7,150.08 "," 	25,536.00 "
"CATH, CONSTELLATION ADVANCE MAPPING 60MM"," 	7,299.04 "," 	26,068.00 "
"CATH, CONTROL VENTURE OTW 6FR", 	968.24 ," 	3,458.00 "
"CATH, CONTROL VENTURE RX 6FR", 	968.24 ," 	3,458.00 "
"CATH, COOL PATH BI-D LARGE CURL 7FR 4MM"," 	2,288.03 "," 	8,171.52 "
"CATH, COOL PATH BI-D LARGE SWEEP 7FR 4MM"," 	2,234.40 "," 	7,980.00 "
"CATH, COOL PATH BI-D LRG CURL 7FR 4MM"," 	2,234.40 "," 	7,980.00 "
"CATH, COOL PATH BI-D LRG CURL 7FRX4MM"," 	2,145.02 "," 	7,660.80 "
"CATH, COOL PATH BI-D MED CURL 7FR 4MM"," 	2,145.02 "," 	7,660.80 "
"CATH, COOL PATH BI-D MED DUO 7FR"," 	2,288.03 "," 	8,171.52 "
"CATH, COOL PATH BI-D MED SWEEP 7FR 4MM"," 	2,145.02 "," 	7,660.80 "
"CATH, COPE 16FRX25CM", 	132.57 , 	473.48 
"CATH, CORON 1LUM 6FRX100CM AL1.0 CRV-L", 	62.56 , 	223.44 
"CATH, CORON 1LUM 6FRX100CM AL4.0", 	64.05 , 	228.76 
"CATH, CORON 1LUM 6FRX100CM EBU3.0 CRV-L", 	62.56 , 	223.44 
"CATH, CORON 1LUM 6FRX100CM EBU3.5 CRV-L", 	62.56 , 	223.44 
"CATH, CORON 1LUM 6FRX100CM EBU3.50 SH", 	62.56 , 	223.44 
"CATH, CORON 1LUM 6FRX100CM EBU3.75 CRV-L", 	62.56 , 	223.44 
"CATH, CORON 1LUM 6FRX100CM EBU3.75 SH", 	62.56 , 	223.44 
"CATH, CORON 1LUM 6FRX100CM EBU4.0 CRV-L", 	62.56 , 	223.44 
"CATH, CORON 1LUM 6FRX100CM EBU4.00 SH", 	62.56 , 	223.44 
"CATH, CORON 1LUM 6FRX100CM EBU4.5 CRV-L", 	62.56 , 	223.44 
"CATH, CORON 1LUM 6FRX100CM EBU5.0", 	64.05 , 	228.76 
"CATH, CORON 1LUM 6FRX100CM HIS W/SDE HLE", 	62.56 , 	223.44 
"CATH, CORON 1LUM 6FRX100CM HSI CRV", 	62.56 , 	223.44 
"CATH, CORON 1LUM 6FRX100CM HSII CRV", 	64.05 , 	228.76 
"CATH, CORON 1LUM 6FRX100CM IMA CRV", 	62.56 , 	223.44 
"CATH, CORON 1LUM 6FRX100CM JR3.0 CRV-R", 	62.56 , 	223.44 
"CATH, CORON 1LUM 6FRX100CM JR3.5 CRV-R", 	62.56 , 	223.44 
"CATH, CORON 1LUM 6FRX100CM JR4.0 CRV-R", 	62.56 , 	223.44 
"CATH, CORON 1LUM 6FRX100CM LCB CRV", 	62.56 , 	223.44 
"CATH, CORON 1LUM 6FRX100CM RBU3.5 CRV", 	64.05 , 	228.76 
"CATH, CORON 1LUM 6FRX100CM RBU4.0 CRV", 	64.05 , 	228.76 
"CATH, CORON ASPIRAT INDIGO-RX TUBE 140CM"," 	2,994.10 "," 	10,693.20 "
"CATH, CORON CTO RE-ENTRY STINGRAY LP US"," 	2,254.05 "," 	8,050.17 "
"CATH, CORON GUIDE LAUNCHR AL2.0 8FX90", 	62.56 , 	223.44 
"CATH, CORON GUIDE LAUNCHR JL4.0 LA 8FX90", 	62.56 , 	223.44 
"CATH, CORON GUIDE LAUNCHR JL4.0 SH 8FX90", 	62.56 , 	223.44 
"CATH, CORON MP2", 	62.56 , 	223.44 
"CATH, CORON WORLEY STD 5FRX75CM", 	148.96 , 	532.00 
"CATH, CORON WORLEY STD HOOK 5FRX75CM", 	148.96 , 	532.00 
"CATH, CORON WORLEY STD VEREBRAL 5FRX75CM", 	148.96 , 	532.00 
"CATH, CORON WOVEN GOODALE-LUBIN 7FRX80", 	120.66 , 	430.92 
"CATH, CORONARY  DIL VOYAGER NC 3.25X20MM", 	260.68 , 	931.00 
"CATH, CORONARY 5.0 JL 3FRX80CM", 	42.83 , 	152.95 
"CATH, CORONARY 5.0 JR 2FRX80CM", 	52.14 , 	186.20 
"CATH, CORONARY DIAMONDBACK CLASSIC 360"," 	5,653.03 "," 	20,189.40 "
"CATH, CORONARY DIL OPENSAIL 1.5X10MM", 	372.40 ," 	1,330.00 "
"CATH, CORONARY DIL OPENSAIL 2.5X10MM", 	372.40 ," 	1,330.00 "
"CATH, CORONARY DIL OPENSAIL 2.5X15MM", 	372.40 ," 	1,330.00 "
"CATH, CORONARY DIL OPENSAIL 3.0X10MM", 	372.40 ," 	1,330.00 "
"CATH, CORONARY DIL VOYAGER NC 2.0 X 12MM", 	260.68 , 	931.00 
"CATH, CORONARY DIL VOYAGER NC 2.0 X 15MM", 	260.68 , 	931.00 
"CATH, CORONARY DIL VOYAGER NC 2.0 X 20MM", 	260.68 , 	931.00 
